"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,590111.380949336,6687809.50004844,6231.57103186771,27.1724211258822,0.005
1,200,3738.48,2102784.37369181,1904.68347332207,17.9222297976519,0.005
2,300,738.897390946456,346756.645192995,310.85122196032,10.6411777000347,0.005
3,400,-3562.23209116448,34972.6481074559,35.8902588056729,3.63870500735275,0.005
4,500,5183,6577.03743365953,11.7827629857984,0.759542938559354,0.005
5,600,5722,6917.28517934846,11.5479283898777,0.788180547280826,0.005
6,700,6261,7454.34533146321,11.5873587592983,0.77850288938833,0.005
7,800,-404.684302068553,7686.4055295964,11.404053244636,0.571863947262538,0.005
8,900,-5773.87262884854,7769.0397187842,11.0483895585652,0.80292761472193,0.005
9,1000,-6606.64577119382,7824.14354171149,10.6855054303605,0.610631354421783,0.005
10,1100,-6267.15641103644,7230.85722613427,9.9840170660644,0.523277155461271,0.005
11,1200,-6603.10842111134,5416.52517670344,8.52738855788596,0.412160615093484,0.005
12,1300,-6553.60254512353,4653.38974347629,7.81619318892875,0.254409706162683,0.005
13,1400,-6498.26447006442,2660.70709669665,6.36420240784436,0.344520558300232,0.005
14,1500,-6471.00095195501,2589.56492122748,6.12030117961695,0.530472626787933,0.005
15,1600,-6370.17916701564,164.847615059994,4.57316140950679,0.645355568886865,0.005
16,1700,-6382.36458248386,353.825464018683,4.55887217599008,0.470012412824723,0.005
17,1800,-6327.64205275745,-15.1272609092265,4.26258933135293,0.210039617375613,0.005
18,1900,-6284.66125980022,-476.276147166946,3.88221270099008,0.404567730673033,0.005
19,2000,-6221.88756620042,392.589525549011,4.22381267270091,0.55998063719232,0.005
20,2100,-6217.31169370945,-1115.78937550503,3.39462888961355,0.256918335570562,0.005
21,2200,-6182.41771267429,-894.378533823461,3.427354928726,0.169298984120292,0.005
22,2300,-6123.03715978391,-776.766518217663,3.39027544325583,0.246055563270093,0.005
23,2400,-6067.2672706838,-1296.01267930142,3.05526343996805,0.593596384813799,0.005
24,2500,-6026.27521951343,-1111.14924441128,3.0805230815437,0.424953116701034,0.005
25,2600,-5988.8918904708,-1687.2329517897,2.75638121453055,0.378065807307496,0.005
26,2700,-5947.20184015457,-1933.30896909087,2.58555527169001,0.433419391403193,0.005
27,2800,-6316.8028197979,-2145.05708962471,2.45751920132022,0.197928616304063,0.005
28,2900,-5862.83370135897,-2510.44283110702,2.26929686958943,0.0811416869134356,0.005
29,3000,-5837.11617200252,-1986.87613676426,2.40673128710294,0.625992062847816,0.005
30,3100,-5795.26819915155,-2414.97190073504,2.18500491211625,0.655931584734612,0.005
31,3200,-5730.49804408767,-2172.14425567449,2.25036825998289,0.30316143697727,0.005
32,3300,-5687.01041754477,-3129.19690180902,1.85616868149896,0.114512774104567,0.005
33,3400,-5667.13224500395,-2453.75705231459,2.07655772551204,0.10734415781764,0.005
34,3500,-5605.2585956279,-1215.03257401566,2.46955768264535,0.818459958224411,0.005
35,3600,-5583.08561062681,-1939.35295018932,2.15971629485157,0.735552330490319,0.005
36,3700,-5522.76460383654,-2362.21937392634,1.97998116488048,0.352732070229819,0.005
37,3800,-5491.05485037652,-2367.1665040252,1.96243009763208,0.141261633757774,0.005
38,3900,-5442.38513027182,-3195.4868615379,1.64678075851169,0.0714980334554932,0.005
39,4000,-5396.61929477222,-3063.78899993066,1.65823681652533,0.108440648588591,0.005
40,4100,-5347.71606249201,-2804.13398252574,1.71056049665647,0.214302325932837,0.005
41,4200,-5300.29881929607,-2194.53112062605,1.87836822543046,0.351221895950549,0.005
42,4300,-5277.60909565891,-3786.86961100429,1.32812103320878,0.562769753126199,0.005
43,4400,-5236.16270305858,-2955.80200417721,1.57750764485244,0.224821747780703,0.005
44,4500,-5191.44686019071,-3164.27918715538,1.49102430063478,0.18369862160057,0.005
45,4600,-5143.46517426182,-2760.43774782234,1.59086305391496,0.213957362045528,0.005
46,4700,-5116.80133502443,-3465.66338448687,1.34567588057794,0.486333384050474,0.005
47,4800,-5065.07979462892,-3355.07268833643,1.35914188185206,0.571216564433576,0.005
48,4900,-5025.83615860024,-3401.05228552368,1.34776642495348,0.0517333618224349,0.005
49,5000,-4989.91945521846,-2489.89747421912,1.57079347895159,0.383168298640139,0.005
50,5100,-4931.35543293948,-3416.80048322935,1.27695697936902,0.624624403596691,0.005
51,5200,-4896.55890673379,-3325.87827227754,1.28944958310735,0.466663346945927,0.005
52,5300,-4860.37263058715,-3140.70996683206,1.33125714779792,0.311431073205711,0.005
53,5400,-4800.34121803146,-3206.12957755396,1.30981450831046,0.0469403823857723,0.005
54,5500,-4760.23285498732,-2226.74994490219,1.54674844254834,0.24152693064077,0.005
55,5600,-4725.37153007828,-1737.66499240934,1.65441487862546,0.30899483262958,0.005
56,5700,-4681.88873859242,-2081.28731686979,1.53881898560312,0.298325601623153,0.005
57,5800,-4639.21579686872,-1641.61720681893,1.63725234840505,0.244098266888655,0.005
58,5900,-4587.59319609021,-3485.38197966702,1.15237557982968,0.0598458027274302,0.005
59,6000,-4553.68394485507,-2504.28576542494,1.39097673831864,0.070556570034292,0.005
60,6100,-4511.650921422,-844.876306800932,1.76928923164817,0.747088752877909,0.005
61,6200,-4467.87081456624,-2934.03916502487,1.22912304120555,0.624078343187578,0.005
62,6300,-4430.51966043264,-2473.05602871395,1.34550660638636,0.0855986281535321,0.005
63,6400,-4391.61213238216,-2206.8438353522,1.38900580146021,0.154894415688254,0.005
64,6500,-4345.35609152963,-2013.4011885854,1.41470205900524,0.247704781571598,0.005
65,6600,-4294.14539408093,-2281.0766967022,1.33913570729894,0.127942304348351,0.005
66,6700,-4257.24719968034,-1529.79700307451,1.495172323275,0.299185692806533,0.005
67,6800,-4210.14765137059,-2258.33493994017,1.31760599721837,0.11693494895931,0.005
68,6900,-4172.36413073544,-2535.78871715697,1.22414035694226,0.584803962437818,0.005
69,7000,-4134.59494848827,-1650.91535636867,1.41573025276127,0.294031192534255,0.005
70,7100,-4086.06128786598,-2420.13658930605,1.23280190681257,0.167101002254019,0.005
71,7200,-4044.39003229175,-2126.33101953279,1.27658814886788,0.480717218995958,0.005
72,7300,-4008.08427328586,-1405.88749265107,1.41736609202994,0.629565779903534,0.005
73,7400,-3964.44937195185,-2247.70161744959,1.22380447808196,0.546308979214128,0.005
74,7500,-5134.50828019619,-2810.88529681784,1.10388404086818,0.0532695662957883,0.005
75,7600,-3880.30372814306,-2685.43476535337,1.11822820995067,0.0942449056821614,0.005
76,7700,-3822.50014871989,-2748.31759825363,1.07870581497064,0.506087208791253,0.005
77,7800,-3787.56155458534,-1266.3177672095,1.37797441049786,0.37989353811512,0.005
78,7900,-3751.41548395543,-1922.61065861142,1.22932212621834,0.487556129455226,0.005
79,8000,-3706.73244306888,-2120.25978904224,1.18883149823486,0.0714672044588169,0.005
80,8100,-3652.24849684698,-1924.97996649607,1.21506853205816,0.105088633295979,0.005
81,8200,-3621.35820552903,231.091460659145,1.62057413145697,0.740803329060423,0.005
82,8300,-3565.5034109748,-1810.98612262421,1.20925725409932,0.200099707439112,0.005
83,8400,-3541.0861776151,-2656.73257016336,1.03790804377176,0.0620770207457788,0.005
84,8500,-3495.9023077388,-2834.0944697758,0.992600587502693,0.0944184826577531,0.005
85,8600,-5854.39852296194,-2819.28673024464,0.985883784788673,0.104238816124608,0.005
86,8700,-3404.96598706656,-2685.89303803654,1.00508628487854,0.0148897132601719,0.005
87,8800,-3359.40179466151,-2575.18401531233,1.01673023781405,0.0167518931242547,0.005
88,8900,-3331.35942594793,-2348.07439083341,1.04990210236317,0.0219148673011344,0.005
89,9000,-3284.60366620394,-2144.40306074924,1.07605167716165,0.0738613044628411,0.005
90,9100,-3228.48728669514,-2025.21010568738,1.08678550215197,0.126706577513142,0.005
91,9200,-3188.99468362578,-1712.97796243892,1.13704678029518,0.0564851766907723,0.005
92,9300,-3149.09933137615,-2426.96026831192,0.99854395727986,0.0156597234548212,0.005
93,9400,-3115.15582609043,-1755.8442738319,1.10995094580788,0.0266220626837057,0.005
94,9500,-3056.61152537561,-1925.31318066078,1.06891409273377,0.0809905613718884,0.005
95,9600,-3013.23550084701,-2089.72749047411,1.02954506891242,0.10235601568413,0.005
96,9700,-2961.05373259479,-1175.94525690087,1.1796614544151,0.109255149390703,0.005
97,9800,-2935.62117141199,-1654.80497028691,1.08988454984811,0.0322434761590461,0.005
98,9900,-2900.43200706653,-1426.90274934968,1.11989790616259,0.0433229505568047,0.005
99,10000,-2851.01681740168,-1740.70938176842,1.05561521259912,0.0768665575825434,0.005
100,10100,-2804.81653063807,-1985.96512946245,1.00511728441806,0.079241932036578,0.005
101,10200,-2763.5529632531,-1327.41975169945,1.10764262985373,0.053304895997819,0.005
102,10300,-2722.39440773726,-1587.00507344373,1.05638337730605,0.034594667680227,0.005
103,10400,-5048.73692909114,-1665.11764772836,1.03330161076726,0.0867610640797504,0.005
104,10500,-2642.72447254529,-807.616891505468,1.16405688431264,0.103273354072634,0.005
105,10600,-2603.76692158878,-1236.61669589301,1.08699439619884,0.0533958605828122,0.005
106,10700,-2550.62729020995,-1469.2471948983,1.04238084366246,0.0190567577602602,0.005
107,10800,-2515.63188165235,-1061.21320030685,1.09931528889352,0.0346335673307227,0.005
108,10900,-2463.04696751543,-1553.21452300136,1.01295783378561,0.0195595906930905,0.005
109,11000,-2885.91543441285,-1598.59460982179,0.996930509377599,0.0464610151702459,0.005
110,11100,-2379.84591160711,-1328.75128375332,1.03022053959023,0.0888734793904074,0.005
111,11200,-2345.59371260211,-1085.56428024452,1.05977904280275,0.0943608551923001,0.005
112,11300,-2292.6212182241,-1608.35077344249,0.973058310961962,0.0422661557420478,0.005
113,11400,-2250.55042872997,-710.545656514,1.10351847807422,0.0364775406024773,0.005
114,11500,-2697.50059147252,-1510.61577111497,0.972579616669993,0.0743787982672297,0.005
115,11600,-2167.67488215016,-727.546285625664,1.08254172299069,0.0807349532300215,0.005
116,11700,-4494.91442798116,-1507.41824808023,0.959864787062326,0.0378140052349057,0.005
117,11800,-2093.39513537816,-805.554654369335,1.05738239945059,0.0368981196121155,0.005
118,11900,-2035.52351056476,-1048.93918008543,1.01261883907555,0.0748119544908432,0.005
119,12000,-2007.84116918011,-1190.20494692956,0.984899640061544,0.0677087001221858,0.005
120,12100,-1940.98956582639,-1036.02198201114,0.999999959973288,0.0705066507212256,0.005
121,12200,-1922.33784960043,-914.844070748573,1.01091864413067,0.0471748686245579,0.005
122,12300,-4804.89848033024,-1341.27848384843,0.942435001066338,0.073269030682112,0.005
123,12400,-1835.73751618068,-1026.26331373623,0.981116912926786,0.0463714731294987,0.005
124,12500,-1779.16008956802,-609.335174580142,1.03401943693339,0.0256406097759308,0.005
125,12600,-1741.93432525151,-134.390526016479,1.09341906718685,0.0349626631337717,0.005
126,12700,-1699.67297299082,-886.568137047724,0.979874682628255,0.0793888359218826,0.005
127,12800,-1661.32202462205,-100.62280197508,1.08131174950393,0.0794678639047525,0.005
128,12900,-1618.8407486276,-502.300606931015,1.02095516907232,0.0171917272127773,0.005
129,13000,-1559.45035055074,-651.669900142329,0.993822346143819,0.0148984963031288,0.005
130,13100,-1537.11340113054,-175.029157092408,1.05099850486935,0.0529970278357979,0.005
131,13200,-1465.10911449995,-244.827446249318,1.03365707187593,0.107396686133293,0.005
132,13300,-1435.01004502383,-219.730881561372,1.03117277530122,0.0395328319141597,0.005
133,13400,-1400.819552157,-223.163667579594,1.02487014495909,0.0213255606764579,0.005
134,13500,-1347.81936883783,243.350471193988,1.07907443048671,0.067042756958415,0.005
135,13600,-3609.93700263029,-394.188089426117,0.988050183781028,0.0684971760768102,0.005
136,13700,-1255.14487317881,286.778940151579,1.07055575301452,0.0510491099572075,0.005
137,13800,-1228.65350400144,430.069316572706,1.08259042456248,0.0465082636949856,0.005
138,13900,-1186.42066417371,502.544338224378,1.08431936678283,0.102157585405827,0.005
139,14000,-1128.94690987867,159.270131539321,1.03498886244073,0.0236003877536754,0.005
140,14100,-1107.5047007415,382.860695123251,1.05555603938273,0.0683884308871796,0.005
141,14200,-1068.9570223233,904.014842557279,1.11465573193413,0.0724928373597956,0.005
142,14300,-1019.54440673812,544.877806818417,1.06429843945087,0.0310634742155155,0.005
143,14400,-980.067768816735,547.416050433739,1.05783727089766,0.0433592791274734,0.005
144,14500,-945.791104409837,623.65780712464,1.05966470722569,0.0740753311263885,0.005
145,14600,-882.370352813372,874.935050548901,1.083389749597,0.11530810169442,0.005
146,14700,-853.357735171903,507.77238626253,1.03199807821037,0.117650732102312,0.005
147,14800,-814.368900602788,289.720450218348,1.00167957932773,0.0146136234621864,0.005
148,14900,-757.621514110759,710.658182152004,1.04659202557736,0.0243009678120035,0.005
149,15000,-710.50420846719,962.118181339376,1.07014454928901,0.0398029082569541,0.005
150,15100,-676.215776144328,617.68711661447,1.02270120444576,0.0465472284376935,0.005
151,15200,-634.915710835595,931.71609507832,1.05269445192206,0.0947878485732385,0.005
152,15300,-583.024461817799,1372.31429025458,1.09847963031717,0.0940955094430742,0.005
153,15400,-538.404570408154,1134.17914403493,1.06612428210697,0.0216434186497502,0.005
154,15500,-509.410292962875,1362.30344217257,1.08598143450711,0.0599509253975622,0.005
155,15600,-453.809716043028,1183.78201498629,1.05768276855364,0.110795790046561,0.005
156,15700,-434.452231990692,1507.11785037022,1.09049957983368,0.0436965335203483,0.005
157,15800,-386.27880569639,1318.33656906368,1.06338499816178,0.023744341413205,0.005
158,15900,-326.859008200401,1989.15339659007,1.13229690412791,0.082730615256769,0.005
159,16000,-276.709837348894,1516.01727234862,1.0723702693999,0.1079308665053,0.005
160,16100,-252.291909219232,2422.50909781891,1.16980274388912,0.0708882522336328,0.005
161,16200,-208.643084006379,2223.52883287841,1.14124879971182,0.0577909731917639,0.005
162,16300,-153.678332786865,1155.22869635325,1.01595958330186,0.0209348237511641,0.005
163,16400,-127.723584721294,1292.08006655305,1.02574459521053,0.0179947625047811,0.005
164,16500,-90.7710242924832,1489.12931153375,1.04195131596172,0.0243744061732403,0.005
165,16600,-37.340725315782,1962.17977898719,1.08811054540642,0.0403441717270896,0.005
166,16700,0.574068287673981,1710.22056735668,1.0540341425085,0.0504854632449848,0.005
167,16800,45.9844542314859,1568.05201639958,1.03242465324624,0.0814692522117625,0.005
168,16900,-166.180445660801,1299.8206742964,0.997744901605595,0.106223144367333,0.005
169,17000,124.946351406581,1857.33116073774,1.05340549222009,0.0527905722359746,0.005
170,17100,174.948410956138,2127.79092235837,1.07756915077036,0.0223411124696361,0.005
171,17200,211.236711419635,2241.42515740994,1.08404440977661,0.0238142846552248,0.005
172,17300,261.751663003808,2099.07193153844,1.06203091506311,0.0733879420658798,0.005
173,17400,291.66633497564,2217.42677535341,1.06854916898566,0.102701504194502,0.005
174,17500,362.215126882485,2863.23080814639,1.1318695757166,0.0655144678717816,0.005
175,17600,399.809995001259,2630.42568677144,1.10245932229849,0.0251372522187028,0.005
176,17700,443.798542657067,2711.86850614434,1.10519427411969,0.03391468090945,0.005
177,17800,495.178482142265,2682.18491582905,1.09562713420421,0.0574998349985381,0.005
178,17900,529.693041496238,2863.34978324269,1.10803677374413,0.133774237639251,0.005
179,18000,550.214630237777,2316.54530757576,1.04651443285933,0.102497207982942,0.005
180,18100,604.626237365914,2465.93852873017,1.05826578552149,0.0262982201332547,0.005
181,18200,652.077611993207,2548.6792879068,1.0613576034007,0.0251740479881855,0.005
182,18300,692.817590511831,3315.05398820778,1.13294458504511,0.0622135516132941,0.005
183,18400,728.824128958036,3347.996793426,1.12937185772788,0.0853830761696909,0.005
184,18500,769.089965317246,4173.86692388408,1.20605414890634,0.111565091285285,0.005
185,18600,814.841773257705,4524.09044457542,1.23515717990475,0.0966808067802974,0.005
186,18700,869.768992955925,2459.78040223329,1.02691318969827,0.0210346640520196,0.005
187,18800,899.646899483788,3980.72319890763,1.17114504766019,0.0491502899428904,0.005
188,18900,931.30503788128,2746.69020110757,1.04363365279369,0.0952531782815504,0.005
189,19000,1003.904358631,3235.44321312559,1.0863288790577,0.0806112847950543,0.005
190,19100,1039.06391851498,3066.14739805867,1.06610300326463,0.023557708243657,0.005
191,19200,1059.0057271187,3550.11116320552,1.10750151883769,0.0375878236024228,0.005
