"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,12539.639686005,1568119229.08991,1527237.58117319,1187.34894139263,0.005
1,200,12318.4761665387,467160859.496042,436329.846833664,947.563462563803,0.0449818181818182
2,300,9622.45700430049,179941831.377974,159844.817089482,901.940637505159,0.0395181818181818
3,400,7713.95259570182,47850069.3238579,40502.3734042779,823.124878236797,0.0369909090909091
4,500,6575.03623539035,58285011.7193873,47597.9099676587,861.402004079945,0.0346545454545455
5,600,4633.58950041979,65666273.8286891,51725.7119658623,808.004127180762,0.0349090909090909
6,700,4540.53526617167,45349745.5746294,34313.1172701572,712.663452694385,0.0322545454545455
7,800,4581.18835714071,22585773.3487993,16495.4586744221,645.995360033366,0.0274818181818182
8,900,4651.27989329423,41855896.2433738,29482.3598078294,576.27472019408,0.0263909090909091
9,1000,4558.78861656966,51619935.5148316,35171.5283252796,491.824740736231,0.0240090909090909
10,1100,4560.67425904896,64363305.3944629,42554.3703554682,406.626809971081,0.0187636363636364
11,1200,4574.99221562029,99655410.5261111,63750.688645925,325.245885573889,0.0139727272727273
12,1300,4643.17296119803,69302620.6779532,43068.757573237,257.828522830988,0.0091
13,1400,4614.2422831676,51244698.5984321,30877.8405691379,205.684013630236,0.00564545454545454
14,1500,4639.02491985469,46850440.6575209,27382.7719820801,144.759578721143,0.00508181818181819
15,1600,4660.61126731283,19706744.9537041,11196.3394258412,119.762774478159,0.005
16,1700,4551.40542744047,17298256.8690852,9560.34622917121,97.4745985323677,0.005
17,1800,4575.31902456693,30617521.81216,16488.0902838199,86.9095910445291,0.005
18,1900,4638.24954332077,15268282.1175778,8020.70573406239,76.8567989405949,0.005
19,2000,4701.18006207461,11529257.5985904,5879.38440895433,82.1912165412248,0.005
20,2100,4764.11058082844,20628998.3805175,10301.8994700524,76.6124198008703,0.005
21,2200,4827.04109958228,16556017.1344096,8082.0766600666,48.4952677034666,0.005
22,2300,4889.97161833612,20507829.595466,9748.36195951376,73.4378516540609,0.005
23,2400,4952.90213708995,15269901.9032639,7085.92121046388,35.92975046047,0.005
24,2500,5015.83265584379,16465576.3990664,7480.12018089181,33.4443973587667,0.005
25,2600,5078.76317459763,21288391.8523697,9447.87370628703,47.7063263075832,0.005
26,2700,5141.69369335146,13037917.0559904,5664.79205032892,28.0373258753733,0.005
27,2800,5204.6242121053,25244191.4476092,10745.1292015804,26.3810536836368,0.005
28,2900,5267.55473085914,10174357.669365,4255.25831999974,19.2991376099772,0.005
29,3000,5330.48524961297,21392134.1234616,8733.77974767178,19.8744385763121,0.005
30,3100,5393.2115260683,16780031.0268951,6717.23377810062,20.9464863959422,0.005
31,3200,5451.69487056038,11230234.8558029,4401.54816697099,16.8718249797663,0.005
32,3300,5514.58018721852,4642721.66804943,1792.64750593383,13.6725359245445,0.005
33,3400,5577.46550387667,11433822.6071685,4324.9361295284,47.0740608328169,0.005
34,3500,5633.07654148172,5312948.87834511,1976.23638615498,10.7531128205254,0.005
35,3600,5695.20736597768,13925578.4792517,5080.13253121156,24.0604387114058,0.005
36,3700,5757.96577455946,6410088.69004845,2291.41975526098,28.4461618674376,0.005
37,3800,5820.72418314124,445327.735326182,156.258611731167,8.54413710158746,0.005
38,3900,5876.68841546405,11421886.0222524,3936.52026227006,34.8531756612841,0.005
39,4000,5938.20239162302,3060095.33371871,1042.51589178503,4.33440885078312,0.005
40,4100,6000.97175505055,6082853.04354843,2034.27736160848,16.8632264656496,0.005
41,4200,6063.74111847808,7854162.30944768,2583.22519272226,14.0879655026676,0.005
42,4300,6126.51048190561,1868258.07749158,604.60968339892,17.0577901496766,0.005
43,4400,6189.27984533313,1259141.6455355,401.193962987003,3.51276782813837,0.005
44,4500,6252.04920876066,10744248.4829143,3382.26764614271,11.7417953060802,0.005
45,4600,6314.81857218819,460715.534903696,142.20244560695,17.878887215554,0.005
46,4700,6377.58793561572,857784.751966582,260.574616756768,23.0247294043376,0.005
47,4800,6440.35729904325,804486.84284669,241.477182681283,4.39116084372736,0.005
48,4900,6503.12666247077,3298242.17982288,979.315698080556,18.7562190084515,0.005
49,5000,6565.8960258983,4013235.59789103,1167.67986437216,5.61778562710437,0.005
50,5100,6628.66538932583,6259989.52427988,1801.57992724262,11.4043088995821,0.005
51,5200,6691.43475275336,7658070.24186008,2171.07638160554,3.73661961214497,0.005
52,5300,6754.20411618089,4948016.69258591,1380.49376684968,16.0422743726648,0.005
53,5400,6816.97347960841,10473142.2262584,2875.27809133051,3.21582757729854,0.005
54,5500,6879.72518844318,1889481.49444508,515.243871850587,8.56303042850816,0.005
55,5600,6941.86078132486,10340388.7490361,2783.3575369136,6.57560367948453,0.005
56,5700,7004.62400645787,13428018.5581678,3571.64858437482,18.0581271017881,0.005
57,5800,7067.38723159088,3513189.44857794,922.778105105037,3.67351738700717,0.005
58,5900,7130.15045672389,6174735.7390034,1594.45469208268,12.2234652939951,0.005
59,6000,7192.9136818569,7941116.66981356,2017.11044151396,14.4579249385966,0.005
60,6100,7255.67690698991,60828.9713037251,14.8145813871898,1.0239740597577,0.005
61,6200,7318.44013212293,14605452.0550904,3644.89210321976,5.85519988253099,0.005
62,6300,7381.20335725594,5936252.41377651,1458.59273025245,3.11265801549749,0.005
63,6400,7443.96658238895,1009300.56505701,244.609293257351,0.492137109250448,0.005
64,6500,7506.72980752196,6034283.64198579,1449.3282541391,6.25821072602386,0.005
