"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,13522.0999036034,1765922869.63896,1728207.6398776,1190.40463919724,0.005
1,200,10683.9627336492,363624195.376777,338119.37842763,1019.87306392816,0.0451545454545455
2,300,8071.30148986312,106659869.930131,94846.5510389645,915.089067279255,0.0403
3,400,7751.04031789447,54894543.8546557,46810.9873488024,892.228233694385,0.0372636363636364
4,500,6682.73102005041,14554115.9586871,11825.736239721,826.93472385221,0.0358545454545455
5,600,6332.44158361003,18077735.4073227,14204.4265370303,683.121897397206,0.0326272727272727
6,700,6412.45868801437,45675032.2064063,34527.6344990132,500.91356637361,0.0254909090909091
7,800,6575.75890108447,44993106.628883,32918.2017256799,395.833420283615,0.0178454545454545
8,900,6739.05911415456,22157714.4380133,15551.4278620626,291.946451393026,0.0113181818181818
9,1000,6902.35932722466,23463853.6451806,16035.0665352964,235.977041363357,0.00555454545454545
10,1100,7001.57623331414,29219087.8521451,19308.3550564362,170.468334281184,0.00533636363636363
11,1200,6907.70190671723,25956515.9983896,16649.3212704297,118.898124635157,0.005
12,1300,7045.35126266978,9873941.98768446,6127.697132502,77.4697439372178,0.005
13,1400,7194.9701278356,19709455.1395209,11867.8042067677,65.2556909429561,0.005
14,1500,7344.58899300143,17573541.4837999,10257.0144160905,51.5922973278931,0.005
15,1600,7494.20785816725,14868077.4637592,8462.03036302128,29.3703679133973,0.005
16,1700,7643.82672333307,10729937.0914901,5952.95361243433,25.1291649715196,0.005
17,1800,7502.54282990897,10697251.8480423,5741.64556395555,29.5764105792903,0.005
18,1900,7598.48788025666,7082302.96131423,3713.78383615523,27.5416291725604,0.005
19,2000,7664.55371624723,8820859.83167101,4518.87088160994,32.7010924347261,0.005
20,2100,7802.19087456093,7533376.32166521,3762.37269735205,24.9205754796094,0.005
21,2200,7939.82803287462,8115255.25437152,3946.45638362869,21.7064918883362,0.005
22,2300,7987.11294374165,1350023.78123798,641.62116309862,19.5717290293317,0.005
23,2400,7979.94796524564,6066076.05947015,2820.31240084604,16.8527230785412,0.005
24,2500,7955.39851134368,6740950.42187303,3070.22883975421,13.5615810076775,0.005
25,2600,7493.45091462737,16395673.054238,7292.0411126622,17.3465090072957,0.005
26,2700,7127.12347336846,1543272.20761844,669.948065638099,16.6979339605582,0.005
27,2800,5827.31341824597,2632862.27126766,1114.33265633055,46.5645440497495,0.005
28,2900,5871.32703518682,2300473.4654252,956.506000700753,44.4508317836298,0.005
29,3000,5917.06398847321,1764675.86611302,717.714631564312,44.1311680615723,0.005
30,3100,5956.16547340061,4321206.20531589,1741.91319723875,55.648787376163,0.005
31,3200,6026.12828945188,1887763.11804273,738.654659134576,45.3868626804384,0.005
32,3300,6074.43805631206,2613042.43386477,1005.43226247053,23.5892972277511,0.005
33,3400,6147.63467276688,643003.224748269,242.514697397662,32.3076176294175,0.005
