"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,15604.1666220203,1679027224.4098,1639543.73049489,1190.91746470353,0.005
1,200,14694.7179733722,516832956.421414,481109.027839501,992.862383472436,0.005
2,300,14220.4446385087,74610185.0507355,66393.1854756156,860.139685163579,0.005
3,400,14248.0432738611,19657.811737812,3.78258560039364,700.364153552236,0.005
4,500,14386.0364506233,17933.4565309695,3.53559269872257,547.415262382028,0.005
5,600,14524.0296273854,17150.6388921291,3.25770213285758,446.220717211229,0.005
6,700,14662.0228041476,16815.9185175743,3.1017375232356,360.870802603474,0.005
7,800,13996.6412651632,16481.2192272114,3.00405262268783,289.593802637392,0.005
8,900,14012.2383286249,16245.5942559866,2.87458200054391,226.830609970222,0.005
9,1000,14154.0298146403,909081.474339771,610.3232831155,181.91948031272,0.005
10,1100,14295.8213006558,15832.0878120024,2.7106522792223,166.629988271579,0.005
11,1200,14437.6127866713,823841.083408807,517.173800057758,147.287474829199,0.005
12,1300,14579.4042726868,15651.1415135112,2.70749743406107,100.468462700253,0.005
13,1400,14721.1957587022,5072421.48650353,3080.70841704404,81.7698907335285,0.005
14,1500,14862.9872447177,15720.4120154495,2.75081570533647,63.4351990097713,0.005
15,1600,15004.7787307332,737695.859791768,414.776255903534,52.5176098552207,0.005
16,1700,14557.136773087,15798.0482631252,2.7396483516876,46.8260180889902,0.005
17,1800,14617.760974612,2018603.17267992,1089.8202236129,50.487400899045,0.005
18,1900,14654.178406281,15706.3403859314,2.60095985219699,69.6005157170177,0.005
19,2000,14684.0976694213,15537.0880403682,2.47617599997356,37.3434581873355,0.005
20,2100,14746.6314389352,15462.2946147591,2.36528752892759,31.5506834745976,0.005
21,2200,13353.4364282341,15356.2701390671,2.26330360265304,47.213239162899,0.005
22,2300,13440.1157887125,15208.6528946592,2.15918232937394,57.51073809158,0.005
23,2400,13540.9057427572,15057.8151628316,2.09308506085181,70.0282701767884,0.005
24,2500,13641.6956968018,14927.1569210015,2.06400241793191,82.024196359576,0.005
25,2600,13742.4856508465,14796.8616520036,2.06727205127069,82.4323882507141,0.005
26,2700,13843.2756048912,14684.6342830037,2.07495798564506,64.3991348072434,0.005
27,2800,13944.0655589358,1772584.11255021,746.290513215976,55.3659598846071,0.005
28,2900,14044.8555129805,14509.6179543681,2.04632036841175,46.3249220908941,0.005
29,3000,14145.6454670252,1565975.58385764,638.507226136259,37.7772795490987,0.005
30,3100,14134.4892502502,14511.148279786,2.04218876739458,25.6720221853619,0.005
31,3200,14212.7788579738,14602.4164910076,2.05031470693349,25.3279272945721,0.005
32,3300,13597.8024459144,14619.6745594024,2.04112790131931,46.7475262629942,0.005
33,3400,13674.2420671474,4560474.84303808,1714.07365236357,43.6013916602238,0.005
34,3500,13774.8205161382,14671.0472743227,2.03036097186817,69.6938339070584,0.005
35,3600,13735.4276274744,14631.9319588172,2.03060497985749,57.1403206337946,0.005
36,3700,13631.8696736386,14581.5035328245,2.0403207224666,62.8921527624983,0.005
37,3800,12521.4027749191,1262288.21125639,442.710471364793,80.5976657220639,0.005
38,3900,12526.7625097439,14355.1322971872,2.01198284914086,76.1140489833774,0.005
39,4000,12593.7591950534,2356395.11986512,801.468607652797,71.5456626251846,0.005
40,4100,12660.755880363,242548.065935688,78.2999658832541,68.8664869788848,0.005
41,4200,12461.9718870807,882014.050577888,288.423942515537,89.1539278688438,0.005
42,4300,12539.2713694906,13804.6163682221,1.91453928093258,77.4162246321608,0.005
43,4400,12390.866516301,13728.3531800657,1.90584482336311,78.7950965606658,0.005
44,4500,12403.0328466254,3059957.59643745,962.952161229924,96.8509025187627,0.005
45,4600,12496.6200029668,13651.9854452438,1.87714780387584,90.8116350483951,0.005
46,4700,12590.2071593082,13616.2568457231,1.88876371871971,88.7408690882334,0.005
47,4800,12683.7943156496,3106843.29964292,931.240556111539,74.5015765874105,0.005
48,4900,12777.381471991,877387.881655642,256.18327884106,56.6417933502361,0.005
49,5000,12870.9686283325,2135687.8001205,620.567788331609,45.4239978998753,0.005
50,5100,12964.5557846739,8986041.42759826,2593.45367917762,61.4449960541982,0.005
51,5200,12032.4939213509,1426093.17581498,400.789385394313,36.2584291642675,0.005
52,5300,12081.7193026045,13359.7896641317,1.89795864390923,52.3666402230669,0.005
53,5400,12174.5973804415,13337.2892403383,1.90012848172087,49.7784903965214,0.005
54,5500,12267.4754582784,13304.8070117983,1.89674689703302,49.7880301209748,0.005
55,5600,12154.8107484761,13206.4184145734,1.89858084215886,51.3313229600458,0.005
56,5700,12155.6143524053,13098.1795170883,1.894728616394,40.6384069706533,0.005
57,5800,12235.9747453239,13036.5570454063,1.88294599881999,30.9844987027901,0.005
58,5900,11871.4053134177,6313737.07266309,1630.83075348147,28.0914630942734,0.005
59,6000,11903.6815260968,13068.4682567096,1.88849311336811,38.8641346597001,0.005
60,6100,11990.9145333374,6149690.92141705,1552.84206382695,44.0511479577519,0.005
61,6200,12078.147540578,2244413.43393055,558.107825563335,39.9976419104226,0.005
62,6300,12165.3805478186,12908.9783929101,1.83666915681497,41.5427469678409,0.005
63,6400,12252.6135550592,2016524.11314446,488.175395467151,35.3849072459191,0.005
64,6500,12339.8465622998,12802.8453974504,1.80941663367622,36.6085768493683,0.005
65,6600,12427.0795695404,12807.8325269771,1.80196049246886,45.9101933373543,0.005
66,6700,12514.312576781,3718392.5519722,867.408261575347,26.6941124726469,0.005
