"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,70893.134145779,6368195.14731466,5943.52590507052,26.4521278172347,0.005
1,200,71851.7531302409,4127741.18690088,3723.95036620797,19.7410501474559,0.005
2,300,75275.392360462,2800051.93296382,2444.5948821921,13.272618730366,0.005
3,400,78699.0315906831,2030454.00229741,1706.62492611418,9.97290660056363,0.005
4,500,82122.6708209042,1571568.6219189,1270.01422966935,7.59313138205075,0.005
5,600,85546.3100511253,1278408.01263957,994.546423249734,5.92693943135384,0.005
6,700,88969.9492813463,1096241.21790388,823.083073639921,4.59336354585522,0.005
7,800,92393.5885115674,955290.152781106,692.083394265163,3.59566873856338,0.005
8,900,95817.2277417885,843034.224494828,590.1187473786,3.06269189665417,0.005
9,1000,99240.8669720096,758924.741657757,513.677994954125,2.94304104120507,0.005
10,1100,102664.506202231,649843.810552844,426.14413198078,2.78322161434761,0.005
11,1200,106088.145432452,522266.308033627,332.11082908542,2.15030312207853,0.005
12,1300,109511.784662673,428774.962892612,264.687060411136,1.81972832319607,0.005
13,1400,112935.423892894,361095.73586352,216.686914980395,1.25483178950444,0.005
14,1500,116359.063123115,319596.434798694,186.600926547366,1.05572118476728,0.005
15,1600,119782.702353336,290133.896128662,164.809406628723,1.10869212541605,0.005
16,1700,123206.341583557,251186.40524009,139.134693776626,0.885727994394065,0.005
17,1800,126629.980813778,227601.767715854,122.942717058582,1.00577608716365,0.005
18,1900,45140.28176107,206639.337487689,108.869467822144,0.907351484310244,0.005
19,2000,37377.7698489033,191069.309195828,98.2754490825972,0.949845105495578,0.005
20,2100,37973.7254423086,176652.172394192,88.6961750403374,1.08029144713463,0.005
21,2200,38950.7018249402,155613.335813805,76.4158481028861,0.844956656530174,0.005
22,2300,39927.6782075718,128484.254094388,61.7633435050649,0.60581080508858,0.005
23,2400,40904.6545902034,104076.265553179,49.0101407854607,0.634040530794728,0.005
24,2500,41881.630972835,90306.042438165,41.6870221604994,0.391726777448909,0.005
25,2600,42858.6073554666,81697.8695101286,36.9559941086566,0.21478604037355,0.005
26,2700,43835.5837380982,73330.0595020433,32.5450215569438,0.158928862573995,0.005
27,2800,44812.5601207298,67708.2182897488,29.4631888329036,0.116722996748996,0.005
28,2900,45789.5365033614,65081.8986897085,27.7759984491667,0.0756856428872429,0.005
29,3000,46766.512885993,63031.1512554615,26.3981127396449,0.342113980998932,0.005
30,3100,38553.5226794073,61375.3862720773,25.2125345145716,0.264010607047669,0.005
31,3200,36077.3523941897,60049.9245353433,24.2368162892311,0.444400361941471,0.005
32,3300,35131.3721693184,56493.9436588476,22.4777591657934,0.765138221145908,0.005
33,3400,35252.8750065087,52755.3267937332,20.6895915114221,0.560141058317028,0.005
34,3500,35967.5975782168,50943.0507393658,19.7239594712851,0.738906084558272,0.005
35,3600,36682.3201499248,44448.2552854975,17.079201981359,0.453315412031647,0.005
36,3700,37397.0427216328,41251.1609321178,15.7069664750401,0.267642197078772,0.005
37,3800,38111.7652933408,41788.82383746,15.685552037481,0.337987590500113,0.005
38,3900,38826.4878650488,61993.273605582,22.3514254725547,1.06785756169027,0.005
39,4000,39541.2104367568,40477.6094605427,14.7720457765741,0.0662646267221774,0.005
40,4100,40255.9330084648,43711.5134876572,15.6132165576332,0.46077515517778,0.005
41,4200,40970.6555801728,42249.4344803718,14.8883790138994,0.167255507149355,0.005
42,4300,41685.3781518808,44496.0823647511,15.3803914238681,0.211890694015898,0.005
43,4400,42400.1007235888,42983.5761609935,14.6579326885278,0.0501996854586681,0.005
44,4500,42684.3765147906,43672.4294500234,14.6485667704105,0.0376860033939231,0.005
45,4600,43240.4305132127,44333.7260656223,14.6358587704347,0.0551375619940172,0.005
46,4700,43893.0881984733,44964.647706526,14.6147342494187,0.0551262352062955,0.005
47,4800,44602.4987259305,48502.679801526,15.4675566046742,0.429622895053949,0.005
48,4900,45311.9092533878,46767.4094619305,14.7513554406135,0.203816205783291,0.005
49,5000,46021.319780845,54534.7074343567,16.8134260603096,0.780093317213782,0.005
50,5100,46730.7303083022,47514.5262413347,14.5649318216598,0.0476819959028147,0.005
51,5200,47440.1408357595,47945.2426191398,14.4898926621745,0.0293856873097711,0.005
52,5300,48149.5513632167,51717.5516924718,15.3552211642845,0.467625776854697,0.005
53,5400,48858.9618906739,49320.0347284377,14.4832946523446,0.0278699554054839,0.005
54,5500,49568.3724181311,50025.8014217602,14.4822878320158,0.0231696181344248,0.005
55,5600,50277.7829455884,51599.9451459489,14.7297610697029,0.253421420258227,0.005
56,5700,50987.1934730456,53310.2042963591,14.9768981331185,0.329352408731181,0.005
57,5800,51696.6040005028,52128.1475940544,14.4790903388509,0.019473841508754,0.005
58,5900,52406.01452796,52834.7152211791,14.4785648540167,0.0158858151930113,0.005
59,6000,53115.4250554173,54738.8483725955,14.7923038315667,0.282702758809939,0.005
60,6100,53824.8355828745,55094.5508131238,14.6928813518589,0.156019479601254,0.005
61,6200,54534.2461103317,55233.1057304907,14.5527052624191,0.13978134963378,0.005
62,6300,55243.6566377889,56624.8736944426,14.7267487676588,0.251894964024452,0.005
