"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,11711.6075144902,1837052858.1397,1793375.65294875,1210.6794988184,0.005
1,200,7299.80231263844,113320042.217943,105261.98137117,770.868173311149,0.005
2,300,5342.51535601162,110086917.28357,97925.0225686849,577.517539826861,0.005
3,400,5159.68849526415,166345877.186121,142063.430854908,441.923291609026,0.005
4,500,4316.94787323338,103654259.879641,84920.1435425975,447.141014943993,0.005
5,600,4605.79099866289,167793393.531951,132061.344235692,515.682437184208,0.005
6,700,4675.20698016687,225394877.856486,171325.084523644,438.041005090116,0.005
7,800,4976.46608461752,206927798.171701,151113.129470394,387.964962331648,0.005
8,900,4875.44847885714,131115041.770647,92311.6665773541,279.470473705235,0.005
9,1000,4954.37040569404,127306019.137843,86758.4371247915,273.040854796441,0.005
10,1100,4591.28392732533,130678234.99708,86445.7056301236,278.579193055796,0.005
11,1200,4954.04186310721,184998635.056777,118537.453642841,275.901520584082,0.005
12,1300,5149.81094328177,120176096.184976,74729.3278020668,251.927153106722,0.005
13,1400,4709.62952760607,120601928.930545,72742.3187316854,202.711587008308,0.005
14,1500,4922.43056667915,109529178.361358,64204.0436324203,163.922253492532,0.005
15,1600,5162.56327235937,183803647.023092,104655.26627937,154.113485361219,0.005
16,1700,5277.9511514255,139827104.776148,77419.455524657,156.828822627056,0.005
17,1800,5333.7054645723,134324923.801731,72494.5184496305,159.639056221489,0.005
18,1900,4887.54379719649,156932554.16787,82464.588503758,134.837521376276,0.005
19,2000,5525.22894030651,169717370.389168,86919.1060115698,109.115189245036,0.005
20,2100,5435.67503502149,167130056.932199,83434.6124821677,130.241747933779,0.005
21,2200,5574.87873827632,124641418.880326,60824.0215081076,163.878658549929,0.005
22,2300,5805.51871277622,149928446.482931,71407.9777284431,153.009864737286,0.005
23,2400,5638.55856144199,142078912.992704,66105.7940826425,136.28657812926,0.005
24,2500,5515.16271530354,129334682.408887,58823.791275923,121.887850081728,0.005
25,2600,5929.6371797945,131658264.052692,58614.7556809622,116.198596784785,0.005
26,2700,5885.49684496237,143297078.945924,62346.7825566606,109.53065780274,0.005
27,2800,5970.78479066712,130473584.911067,55693.583691311,112.529415147872,0.005
28,2900,6149.37306174959,99805476.4281043,41744.0663837809,113.208966007261,0.005
29,3000,6303.1743530432,119287059.008701,48877.6819062236,123.299975309097,0.005
30,3100,6220.05617553668,119236402.80833,47866.9120778672,132.094163637187,0.005
31,3200,6610.24736585268,147808053.994361,58223.3516424883,109.704333688042,0.005
32,3300,6365.51185265453,89509121.4115435,34541.3760291206,136.249304823791,0.005
33,3400,6324.59039408279,107323899.446182,40612.2957245042,115.923856902915,0.005
34,3500,6349.46617884472,127616962.432928,47446.4538953584,109.258664414819,0.005
35,3600,6616.03417760556,124711993.630165,45550.0398128186,108.580934213798,0.005
36,3700,6556.59104669377,102481207.144679,36802.4712675672,114.748138308623,0.005
37,3800,6582.24777644954,118319693.649718,41684.050277046,146.099231668723,0.005
38,3900,6998.27054140327,124504682.382011,43174.7503961606,134.573169815423,0.005
39,4000,6737.19943965157,141996376.369548,48411.041329919,88.5145997233084,0.005
40,4100,7100.35267153365,124307341.453848,41679.9534968839,119.565382478621,0.005
41,4200,7382.17318719488,82463566.7272976,27204.4708668579,136.674392370411,0.005
