"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,12539.639686005,1568119229.08991,1527237.58117319,1187.34894139263,0.005
1,200,9003.5456978534,799149633.908949,744588.942277767,729.636314185714,0.005
2,300,7225.91538494258,477219591.855052,424820.090403425,719.458848196837,0.005
3,400,5600.62663829072,289921717.107934,247320.075850493,733.204811231424,0.005
4,500,5072.30885760656,352203015.35267,287941.893118479,820.926854065951,0.005
5,600,5197.49421014972,363178722.786801,285485.617983376,747.402309646209,0.005
6,700,5141.37194560526,243838368.432085,184981.635362162,567.768525083223,0.005
7,800,5138.63476000793,245527149.056623,179792.370709616,644.877027594924,0.005
8,900,5223.33530557676,243087074.30518,171964.313866308,682.053789588843,0.005
9,1000,5316.33583340608,239593867.092962,163354.564574108,614.58342228954,0.005
10,1100,5119.00947626124,271923773.700113,179644.585702615,569.638827678286,0.005
11,1200,4982.1051002704,213790503.230465,136631.837820159,533.787352967517,0.005
12,1300,5043.65529426979,183511917.916066,113995.424001272,572.206534282594,0.005
13,1400,4962.7244897598,105693317.071556,63512.8813950088,520.683537460375,0.005
14,1500,4692.7092785571,247797314.066225,144779.892301484,444.663812004352,0.005
15,1600,4918.72887715539,310630676.227065,176408.802122381,400.026064857707,0.005
16,1700,4982.56668668491,300570503.881656,166173.933953058,427.684784376877,0.005
17,1800,4744.12977113229,158748171.199252,85556.7460467276,339.361687252247,0.005
18,1900,4997.3941215693,169966270.416069,89193.7021476027,291.207585091614,0.005
19,2000,4957.86988018288,231412033.048242,118256.580302714,300.314544035695,0.005
20,2100,5180.70017327342,223545341.29956,111502.520907315,309.976923549549,0.005
21,2200,5050.97433930436,246082891.825644,119740.761913955,296.076429909208,0.005
22,2300,5050.16496803163,203740678.905719,96973.5508650333,221.78948928791,0.005
23,2400,5400.51120631512,208760299.779706,97011.0296497892,253.527275666931,0.005
24,2500,5411.95307937922,237727291.228172,107927.36646286,280.367020350859,0.005
25,2600,5166.22244913773,228814354.171269,101697.769361081,235.40379632957,0.005
26,2700,5594.65710968354,264769910.758564,115151.066621829,247.928792814584,0.005
27,2800,5485.86901871224,184018409.95542,78444.380234676,221.318024893278,0.005
28,2900,5643.38271337998,193812920.302287,80891.630401482,216.038283210924,0.005
29,3000,5712.29952925095,217600108.950753,89034.4811707471,218.136023509473,0.005
30,3100,5660.63316219029,301052417.930012,120550.157645474,219.273214749777,0.005
31,3200,5772.95641622427,219479071.828945,86317.833519962,213.535445991641,0.005
32,3300,5798.0657756763,218928448.366043,84532.6254399288,214.597179826657,0.005
33,3400,5910.82742292927,243126633.843911,92168.235852405,193.317172536492,0.005
34,3500,5891.89230909656,239120634.552931,88917.7425692672,191.492016675323,0.005
35,3600,6003.39427779603,250154894.742252,91341.5763547842,183.121847216169,0.005
36,3700,5993.55307216523,188984486.090487,67837.6694318171,175.608822772756,0.005
37,3800,6203.38639778252,236895308.220694,83556.2896113695,172.793480895013,0.005
38,3900,6365.90293019122,223303424.658897,77438.4110026974,163.437015971585,0.005
39,4000,6150.56711647314,251872411.535132,85871.5080694681,149.322985680287,0.005
40,4100,6152.05664338565,207073993.118587,69491.7083852186,157.263080625305,0.005
41,4200,6291.37913472026,206331361.769099,67990.6726624372,182.664294184955,0.005
42,4300,6473.87704116311,200613312.837031,65078.5947443393,203.53612233748,0.005
43,4400,6581.83725498025,226673973.409088,72385.3209034695,214.396136596185,0.005
44,4500,6426.47663517725,224592359.788191,70638.2905637249,129.765626526188,0.005
45,4600,6609.47402631551,237946900.970745,73705.6508275399,137.725567321293,0.005
46,4700,6184.92352693379,189677742.747142,57886.0745591112,200.891636252344,0.005
47,4800,6730.6004517455,225076145.300492,67735.4081592646,185.093053437936,0.005
48,4900,6740.46387363369,215042522.922864,63658.0857077063,163.097603778492,0.005
49,5000,6636.33664108442,148105532.740913,43276.2112494905,149.590516772246,0.005
50,5100,6828.60201751222,167033665.245226,48130.6290416022,158.24128191107,0.005
51,5200,6922.87290067326,209187000.183842,59462.7967553603,167.851865093267,0.005
52,5300,7092.56361069449,244807582.470272,68589.2609018474,146.457648604674,0.005
53,5400,7275.77765737559,208268902.802321,57525.6748975578,180.237712519524,0.005
54,5500,7362.84448236843,251372034.123714,68547.3562861049,159.349622621698,0.005
55,5600,7434.52591808819,235587546.406622,63435.8783328252,123.786089835166,0.005
56,5700,7385.64742914972,314320122.174107,83468.6248586246,165.173054646544,0.005
57,5800,6923.78884572737,212539401.412752,55673.0663318247,151.531561145016,0.005
58,5900,7183.34214327072,247133100.520844,63941.9432352269,162.551507591258,0.005
59,6000,7747.35639382627,248401198.404014,63465.6966221907,139.108297188995,0.005
60,6100,7545.31945999998,319776116.858099,80765.0764762625,149.278329763021,0.005
61,6200,7737.77541203462,206647392.767449,51516.9500527287,168.035431727346,0.005
62,6300,7770.22079573021,320183497.103426,78889.0211350033,154.19074371092,0.005
63,6400,7902.75103506934,299407489.860366,72866.1159510467,156.528083417964,0.005
64,6500,7644.75747396421,248920557.78558,59886.4168178576,162.529103815954,0.005
65,6600,7671.14879543813,207655690.712592,49368.9504786638,166.196597047232,0.005
66,6700,7674.15022044243,304320188.928901,71502.5071392986,144.819050429461,0.005
67,6800,7522.39883498189,343568516.195665,79785.4482566123,141.372690942776,0.005
68,6900,8060.42704342802,232561051.620032,53401.2180267244,162.68357587024,0.005
69,7000,8204.87690275162,215061360.927681,48826.9182078121,149.543435700918,0.005
70,7100,8160.72983263842,236009794.016915,53016.0821588545,139.294551074696,0.005
71,7200,8066.3792143968,367917649.604067,81769.2678315638,132.800528754019,0.005
72,7300,7513.38689844154,302261871.683703,66448.3710705323,165.011813095379,0.005
73,7400,8429.94089801341,289018376.023301,62800.1797296127,171.194031356096,0.005
74,7500,7805.470790468,308903169.748263,66454.3677530079,129.483093024796,0.005
75,7600,8794.21255529566,334412359.536211,71143.2355060534,133.712396596969,0.005
