"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,10051.9498557119,1745091813.77904,1707429.9115705,1175.03145703471,0.005
1,200,7620.05010487947,610850336.745908,570982.123773266,826.448069460525,0.005
2,300,6551.86068258534,228727364.368926,204249.299450303,524.484603576624,0.005
3,400,6584.1733118373,276395776.718037,235759.635482036,496.836516345622,0.005
4,500,6483.41621677347,259734495.935977,212772.557927761,610.709678411989,0.005
5,600,5991.19409491056,204304512.46028,160938.85217727,573.007544481329,0.005
6,700,5692.7571346626,127934904.911127,96936.4206795175,376.942834836579,0.005
7,800,5394.01288270667,76847692.9662433,56216.8985697626,260.803919878548,0.005
8,900,5019.00541609001,196102250.423669,138515.326309144,247.470922448903,0.005
9,1000,4900.20694378238,190072732.814151,129959.200527555,209.543059483665,0.005
10,1100,4746.25914729298,210418763.305644,138881.762380661,220.318119511114,0.005
11,1200,4573.33542615046,229858921.105429,147106.887508169,186.819038989424,0.005
12,1300,4954.75603579908,220051878.93871,136700.534911157,186.249995921343,0.005
13,1400,4579.39893084037,162881209.15532,98055.8577355681,175.883364803394,0.005
14,1500,4869.53753303099,180184829.356052,105392.080718842,172.734522914113,0.005
15,1600,4811.77617075638,262777834.47938,149246.078898993,162.382128110108,0.005
16,1700,4918.41161268209,216053300.584359,119429.020117725,154.415316126395,0.005
17,1800,4795.69494981505,224281054.914389,120637.674104964,159.79963193237,0.005
18,1900,4827.85136380743,192963545.502599,101353.80740883,174.096820765267,0.005
19,2000,5300.20967541311,206571984.528455,105712.282591893,145.346747953728,0.005
20,2100,4941.85539826766,260060400.944554,129817.345136268,140.693648744671,0.005
21,2200,4993.80837043968,213245214.212862,103774.439659364,166.029970628669,0.005
22,2300,5117.10354215623,139934921.53881,66581.9784084005,146.63264641671,0.005
23,2400,5174.00245064773,154016697.704491,71599.542806208,132.510623881482,0.005
24,2500,5113.96478300132,207307825.260948,94243.6369111344,134.07297050201,0.005
25,2600,5294.4283338881,183385373.881913,81530.1487105422,143.62259367653,0.005
26,2700,5454.24692024272,145497578.921926,63337.398622874,121.344992954446,0.005
27,2800,5367.64915423936,158076985.484466,67365.850111209,125.274663125091,0.005
28,2900,5478.25545672526,169566372.665572,70866.0562502292,114.795655787373,0.005
29,3000,5422.22042377975,188187597.643667,76894.7873205286,115.841736056405,0.005
30,3100,5485.71843130358,157751656.516187,63319.622154184,112.906340551805,0.005
31,3200,5557.28630534623,185713921.184079,73079.9948977437,104.728547472556,0.005
32,3300,5613.75703941788,222027285.568861,85623.0943208486,99.685270825034,0.005
33,3400,5516.76421565926,151143768.451198,57314.8403314715,108.914438793527,0.005
34,3500,5671.79384556912,176718549.304671,65739.29203433,99.900193641864,0.005
35,3600,5937.62548064323,167405080.333599,61196.499640439,90.7029056696884,0.005
36,3700,5944.09590297719,236388873.640045,84821.1847289934,110.144071928434,0.005
37,3800,6013.95676137219,226403779.479635,79886.5895001215,125.446197927165,0.005
38,3900,6062.28596045145,242876633.33614,84088.3610371279,97.9163896266783,0.005
39,4000,6032.82709836072,210184601.865601,71603.0382427448,103.362693600401,0.005
40,4100,6161.21418847998,141201047.438342,47316.9088882489,102.194811745881,0.005
41,4200,6165.15760386608,222788662.257904,73515.2477329118,103.380881290033,0.005
42,4300,6313.44916785863,217214648.564221,70552.8400975856,103.996082668764,0.005
43,4400,6313.85172440411,209376236.710092,66909.8119928965,96.3862271205368,0.005
44,4500,6220.5605201049,147057578.203168,46237.8894965503,90.9748447407254,0.005
45,4600,6362.97647422102,162926245.053506,50422.609549574,90.3386660120036,0.005
46,4700,6449.52440503391,193404926.781646,59050.7873318058,104.96845827951,0.005
47,4800,6441.7790303643,263156095.420688,79119.9790835239,101.567580887937,0.005
48,4900,6530.1511015424,229403261.972664,67964.0984597216,99.6265111174021,0.005
49,5000,6526.84807153611,204536053.51953,59712.719357696,93.0789860460803,0.005
