"Generation","NFE","BestFitness","MeanFitness","MeanViolation","Diversity","MutationRate"
0,100,11667.7525487401,1777572113.85663,1735754.03467035,1176.15258708887,0.005
1,200,9347.32318432879,558591607.899227,521148.582910381,902.201382112547,0.0449
2,300,8134.14865189895,151403977.227676,135225.498910115,816.663634072105,0.0383
3,400,5890.76848635011,107036647.546851,91305.1633974761,814.174315886503,0.0352909090909091
4,500,5922.55621057887,115379706.854989,94533.6261903657,749.45206452388,0.0338272727272727
5,600,5751.79482304035,72146809.3945709,56733.1811883092,617.10417209876,0.0301
6,700,5782.24902651485,62398162.0158059,47534.313614187,559.650817518058,0.0240090909090909
7,800,5445.95375543469,89292630.2570154,65458.7124658868,504.441734420204,0.0225636363636364
8,900,5302.15692521153,88016305.2731847,62133.0648652713,437.750007087848,0.0208363636363636
9,1000,4975.82119681944,105006043.802899,71624.9404280405,390.649651482106,0.0165636363636364
10,1100,4886.09466991167,75671417.9023298,49934.175893132,346.405388527975,0.0135454545454545
11,1200,4885.47410194729,42455374.6211269,27218.40036686,303.121442839097,0.0100454545454545
12,1300,4541.48989058517,19690187.5981352,12167.9886324993,240.623800367651,0.00695454545454545
13,1400,4522.26089285747,82010304.7482255,49271.6867447831,222.979190085163,0.00511818181818181
14,1500,4570.41386166732,29414989.0252735,17207.8575999986,151.192088504944,0.00522727272727273
15,1600,4627.06441320832,41559225.1098487,23711.6360246859,130.155035987737,0.005
16,1700,4683.71496474932,53819123.3472748,29720.9933763292,111.538873167454,0.005
17,1800,4740.36551629032,22151029.4855303,11914.6503535171,93.0510780376779,0.005
18,1900,4797.01606783132,30362252.5627174,15868.7633374033,82.0111521618328,0.005
19,2000,4853.66661937232,19032432.8657686,9751.57708914883,66.2004578529884,0.005
20,2100,4910.31717091332,31105908.1568185,15521.2028245536,58.9016528752647,0.005
21,2200,4946.89245413416,14518598.385589,7080.52605244843,45.8588524979214,0.005
22,2300,4983.73588169631,23627808.3638832,11230.6458361804,36.6136116457989,0.005
23,2400,5007.15290032313,17258928.9568662,8013.45637296465,30.4569960403504,0.005
24,2500,5037.50931542208,12912743.2078721,5870.43745590377,29.2605272183736,0.005
25,2600,5093.72489893864,8348150.95364668,3715.50749060882,21.7220249031595,0.005
26,2700,5149.9404824552,21586271.3334234,9391.86579207469,30.26219494601,0.005
27,2800,5206.15606597176,17973466.903614,7646.22600385252,41.2096960344525,0.005
28,2900,5262.37164948832,18780366.4696447,7831.18907307397,47.9603928642773,0.005
29,3000,5318.58723300489,17057957.4173355,6969.13665433326,32.1647407843498,0.005
30,3100,5369.95312551066,10986548.4267504,4413.53107760692,35.340739996382,0.005
31,3200,5421.37591869448,15234051.0819284,5985.34177479259,45.1140785464098,0.005
32,3300,5395.40144238071,12702382.8321347,4889.39458959681,33.0047165556289,0.005
33,3400,5324.06629162111,8199577.1777781,3113.22651146498,14.6151482863875,0.005
34,3500,5316.32634379331,12683487.8576869,4718.11005004729,10.5586504583235,0.005
35,3600,5294.12122862643,10528323.2221891,3842.87650896601,8.17637822236997,0.005
36,3700,5336.22387820496,14928558.3108645,5353.49917530897,7.72750237135619,0.005
37,3800,5384.06779818056,16853780.3151961,5939.63686657688,9.18202444922874,0.005
38,3900,5431.91171815616,12998005.2221237,4501.47162268775,8.26862750607239,0.005
39,4000,5479.75563813176,14510623.5152654,4946.55472580659,23.5235875880064,0.005
40,4100,5524.17574908526,16506322.4821156,5526.67886945828,29.184196958931,0.005
41,4200,5560.44026118762,7117428.81847344,2346.25146673568,5.69940758093081,0.005
42,4300,5608.1567244802,15066845.8660807,4862.36914574643,19.340909589172,0.005
43,4400,5651.44165569562,4419558.02277685,1409.6992213191,10.9149634965703,0.005
44,4500,5687.65970495516,6870039.04136191,2154.78984802332,5.02536986234659,0.005
45,4600,5735.31503292823,7569798.93511277,2353.0223986893,16.6308784344172,0.005
46,4700,5782.97036090129,537768.155189651,163.968887682532,4.68910673441429,0.005
47,4800,5830.62568887436,5292978.38993385,1596.78872414967,6.74584974276227,0.005
48,4900,5878.28101684743,8737367.60512098,2598.8899866325,9.67134999120957,0.005
49,5000,5925.9363448205,106901.067222122,30.4582224359859,2.56077469958787,0.005
50,5100,5973.51030937582,2381914.7014473,683.651243276558,12.7776874749693,0.005
51,5200,6018.72898026771,2850495.1479908,811.014149039344,5.59343539695504,0.005
52,5300,6065.8681938865,4318752.18202324,1201.82647705166,18.7790705443157,0.005
53,5400,6113.48356117821,337819.210200783,92.5978562904073,8.87960703073421,0.005
54,5500,6161.09892846991,111681.336381574,29.7016152389486,25.8915561821803,0.005
55,5600,6208.3667443241,21387581.2680741,5757.2450979526,13.8773403064719,0.005
56,5700,6255.0130566087,7085362.88276988,1871.82104925485,22.5783961890784,0.005
57,5800,6277.4091262332,24837029.4099105,6506.36481489161,13.8991383663352,0.005
58,5900,6324.05897214791,16401388.0175318,4235.64471858006,24.1129242256634,0.005
59,6000,6371.66085573434,9827171.11202992,2513.8329968272,12.3648256377991,0.005
60,6100,6416.64015085829,758281.190097598,190.411318523618,21.2882444426063,0.005
61,6200,6462.76592976442,267543.661055578,65.7981402686301,15.0215607625633,0.005
62,6300,6507.67870073759,5876618.62706416,1446.1733962533,3.88445816745274,0.005
63,6400,6551.33679009118,6143998.81936339,1495.2527660021,19.2835750790065,0.005
64,6500,6598.3309595721,7454935.17800063,1790.05563826457,5.49224904059955,0.005
65,6600,6642.62694089383,709366.279516102,168.133429837341,3.92843543146758,0.005
66,6700,6685.26657218953,1065831.90529009,248.904619583865,0.834877486797506,0.005
67,6800,6732.64394029586,13184887.1129438,3062.12028978778,3.80414794997554,0.005
68,6900,6774.23087242941,15542466.7433736,3556.29132393307,10.7187493583222,0.005
69,7000,6820.10818460054,11216664.1067548,2551.10956327767,19.7407600477872,0.005
70,7100,6867.40438271511,9493746.25418661,2130.49296816386,33.2495193901776,0.005
71,7200,6914.70058082967,4835616.52517928,1072.24634343108,15.5758971188152,0.005
72,7300,6961.99677894424,12881105.103436,2829.40604904607,21.1120833119619,0.005
73,7400,7009.2929770588,924468.418061962,200.963028148084,45.0203271046822,0.005
74,7500,7056.58917517337,10546874.6180902,2267.97199110233,27.4529381290618,0.005
75,7600,7103.88537328793,403390.676294087,85.297699079703,17.6256587300045,0.005
76,7700,7151.1815714025,20912929.9301129,4419.03987201775,13.5546305549665,0.005
77,7800,7198.47776951707,11245506.6850727,2337.01178131125,7.90800030316605,0.005
78,7900,7245.77396763163,7376323.58224422,1515.1978226466,24.3995202936584,0.005
79,8000,7293.0701657462,12672299.7528158,2587.49442057262,11.2755589249405,0.005
80,8100,7340.36636386076,58616.2952661743,11.3301276676937,5.91649971506443,0.005
81,8200,7387.66256197533,15971526.9003765,3204.10980455114,5.7015880095588,0.005
82,8300,7434.95876008989,5552762.26445247,1097.533003377,1.89299352000037,0.005
83,8400,7482.25495820446,85438.8032676866,16.3020108478347,14.6575196894768,0.005
84,8500,7529.55115631902,3003123.4608826,583.394599809759,11.2856875988565,0.005
85,8600,7576.84735443359,27737778.4208261,5350.66014061544,18.6697755643445,0.005
86,8700,7624.14355254815,93147.7399418698,17.2665524330418,2.91604974923882,0.005
87,8800,7671.43975066272,19101539.3176878,3615.39398649081,17.3358435686034,0.005
88,8900,7718.73594877728,20973666.2138504,3930.91840777885,12.011835553757,0.005
89,9000,7766.03214689185,2527802.40006219,468.397867890009,0.67074152457734,0.005
90,9100,7813.32834500642,14010050.7364199,2571.60832639814,11.4616585296922,0.005
91,9200,7860.62454312098,11826956.3378204,2147.17380964041,10.523460811368,0.005
92,9300,7907.92074123555,1558228.27474065,281.646492973217,23.3620452870454,0.005
93,9400,7955.21693935011,14035620.9292002,2518.24052279552,10.1025640981767,0.005
94,9500,8002.51313746468,11735260.5935737,2088.3290424003,15.5988028760967,0.005
95,9600,8049.80933557924,5178603.90595466,913.70829958734,15.282094703863,0.005
96,9700,8097.10553369381,3293271.27074696,575.209195828706,4.30283836833834,0.005
97,9800,8144.40173180837,25585490.4580307,4433.3727215361,4.57928867460045,0.005
98,9900,8191.69792992294,9420065.59475388,1612.17285335047,16.1940341187106,0.005
99,10000,8238.9941280375,20446874.2221097,3471.50733672972,22.8835075786501,0.005
100,10100,8286.29032615207,19117168.9132075,3217.04698168753,12.0382387063293,0.005
101,10200,8333.58652426664,19016709.6422869,3186.19922116695,8.04567961756063,0.005
102,10300,8380.8827223812,2311847.42041022,383.849669605211,12.1240085010812,0.005
103,10400,8428.17892049577,50438331.0114993,8316.03423344462,43.260446175021,0.005
104,10500,8475.47511861033,8975573.41395012,1463.47077571077,3.1857628467186,0.005
105,10600,8522.7713167249,12751407.3317134,2068.77522842341,13.3575039355749,0.005
106,10700,8570.06751483946,7135999.13385552,1151.31980601833,10.5108010982698,0.005
107,10800,8617.36371295403,6820433.29092666,1086.50969764926,9.26124412698963,0.005
108,10900,8664.65991106859,84662.3775791457,12.9883883051217,1.10099407510099,0.005
109,11000,8711.95610918316,53838.0954508149,8.0629576982042,1.82205736860194,0.005
110,11100,8759.25230729772,12432380.4238352,1940.75513116648,12.5658925214194,0.005
111,11200,8806.54850541229,1927918.43841514,296.933877469362,0.889645493308433,0.005
112,11300,8853.84470352685,166231.155246507,25.1145592862881,11.7520634716974,0.005
113,11400,8901.14090164142,5964474.78910757,906.467041878609,11.9042952133496,0.005
114,11500,8948.43709975598,38099941.2063363,5771.92339191973,35.7943852103212,0.005
115,11600,8995.73329787055,6201173.80122245,932.313370259957,2.41017570052424,0.005
116,11700,9043.02949598511,3327867.59717791,497.016171538222,7.11603582817496,0.005
117,11800,9090.32569409968,28003170.2040372,4132.13354481446,29.4478510920787,0.005
118,11900,9137.62189221425,19753360.3038523,2900.89421121673,28.3187179597579,0.005
119,12000,9184.91809032881,80972.4732636375,11.4203982502423,2.16791771042653,0.005
120,12100,9232.21428844338,20804327.1517582,3006.13380397753,8.80646650226184,0.005
121,12200,9279.51048655794,11226377.3291503,1616.12145523192,5.00285266058553,0.005
122,12300,9326.80668467251,83818.8363501062,11.6202720545504,6.21401291692582,0.005
123,12400,9374.10288278707,19622413.7144496,2778.07750385292,21.9935844215941,0.005
124,12500,9421.39908090164,11133872.008914,1565.2295286636,9.24970840796634,0.005
125,12600,9468.6952790162,17396532.9355353,2440.73587280532,4.38951665107719,0.005
126,12700,9515.99147713077,101850.928888503,13.7987256033849,2.61836989550012,0.005
127,12800,9563.28767524533,14837147.5953729,2043.85031810124,23.1607216243165,0.005
128,12900,9610.5838733599,162506.084041773,21.9343857709509,20.7649246840528,0.005
129,13000,9657.88007147446,2210158.50953867,300.687108346617,5.17282769441902,0.005
130,13100,9705.17626958903,16819319.0977091,2276.44043516773,5.95457808438468,0.005
131,13200,9752.4724677036,17336980.6090133,2334.79872145597,4.86853580126927,0.005
132,13300,9799.76866581816,180086.694050271,23.701964287787,3.50726729077053,0.005
133,13400,9847.06486393273,178941.434229602,23.4140930640929,0.663299754270768,0.005
