"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G10","PSO",1,1,2652.45361609701,4573.33542615046,1.23867123865295,FALSE,0,1e+05,999,3.11243009567261
"G10","PSO",2,2,2100,4799.74080363633,1.85210598056908,FALSE,0,1e+05,999,3.01121282577515
"G10","PSO",3,3,3588.03961480473,5606.15725642352,1.25306893440634,FALSE,0,1e+05,999,3.16317510604858
"G10","PSO",4,4,2100,5210.87130254282,2.59893340117865,FALSE,0,1e+05,999,3.02764415740967
"G10","PSO",5,5,2220.36094608093,4518.71790554109,1.59118611456433,FALSE,0,1e+05,999,3.06628203392029
"G10","PSO",6,6,2523.21146303233,4679.70028268316,1.47792781976303,FALSE,0,1e+05,999,2.84905195236206
"G10","PSO",7,7,2100,4838.41987168492,1.61435831826216,FALSE,0,1e+05,999,2.93356609344482
"G10","PSO",8,8,2100,4653.91495585792,1.77594464476999,FALSE,0,1e+05,999,3.13316512107849
"G10","PSO",9,9,2798.16474869466,4805.37166727975,1.08202308217303,FALSE,0,1e+05,999,3.05776596069336
"G10","PSO",10,10,2832.42064642663,4558.09494428098,1.18946394944469,FALSE,0,1e+05,999,2.74852681159973
"G10","PSO",11,11,5489.48960043879,8337.72980335608,1.8378351784881,FALSE,0,1e+05,999,2.90958094596863
"G10","PSO",12,12,2148.00014983577,4107.56191419876,1.57518509699441,FALSE,0,1e+05,999,2.9183611869812
"G10","PSO",13,13,2100,4316.94787323338,1.80699493282367,FALSE,0,1e+05,999,3.10508894920349
"G10","PSO",14,14,2100,3883.46555006328,1.48329179043329,FALSE,0,1e+05,999,3.19577789306641
"G10","PSO",15,15,3045.80087907797,6013.91321109745,2.36540670387271,FALSE,0,1e+05,999,3.04130697250366
"G10","PSO",16,16,2100,4758.47652417949,1.79602521563268,FALSE,0,1e+05,999,2.98730611801147
"G10","PSO",17,17,2100,4451.98343251865,1.72547919251014,FALSE,0,1e+05,999,2.91628098487854
"G10","PSO",18,18,2100,4692.7092785571,1.5333309353345,FALSE,0,1e+05,999,2.81291723251343
"G10","PSO",19,19,2100,5366.79151873398,2.70373806640512,FALSE,0,1e+05,999,2.77970004081726
"G10","PSO",20,20,2100,4320.82169527655,1.77055249123147,FALSE,0,1e+05,999,2.8857479095459
"G10","PSO",21,21,2100,4316.42674517625,1.72592021895051,FALSE,0,1e+05,999,2.98578786849976
"G10","PSO",22,22,3284.64203978884,4728.6900431655,1.07406487565856,FALSE,0,1e+05,999,2.96236395835876
"G10","PSO",23,23,2473.47561536771,5336.75424535449,1.63095878854098,FALSE,0,1e+05,999,2.75216603279114
"G10","PSO",24,24,2536.92173918608,4869.43745856345,1.2670931310583,FALSE,0,1e+05,999,2.9999577999115
"G10","PSO",25,25,2100,4762.58836199288,1.9161515325054,FALSE,0,1e+05,999,2.87048196792603
"G10","PSO",26,26,4685.55161695172,6248.34763704363,1.40080672985185,FALSE,0,1e+05,999,3.188716173172
"G10","PSO",27,27,2443.61264959837,4415.6809686086,1.52055478203327,FALSE,0,1e+05,999,3.06178402900696
"G10","PSO",28,28,2100,4742.53232365532,1.65132468280289,FALSE,0,1e+05,999,3.1206328868866
"G10","PSO",29,29,2100,5238.87084816304,2.5093301101329,FALSE,0,1e+05,999,2.98353600502014
"G10","PSO",30,30,2372.87354632785,4727.32310020029,1.70825199079465,FALSE,0,1e+05,999,3.10252285003662
"G10","PSO",31,31,2281.70601635538,4437.68005160494,1.4483913896593,FALSE,0,1e+05,999,2.97000503540039
