"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G01","GA",1,1,-12.8680960671585,-12.8680960671585,0,TRUE,1,1e+05,999,6.1535279750824
"G01","GA",2,2,-10.109295399102,-10.109295399102,0,TRUE,1,1e+05,999,5.89145708084106
"G01","GA",3,3,-9.85625553421379,-9.85625553421379,0,TRUE,1,1e+05,999,5.74457883834839
"G01","GA",4,4,-12.3786690223553,-12.3786690223553,0,TRUE,1,1e+05,999,5.92400813102722
"G01","GA",5,5,-9.90701889720209,-9.90701889720209,0,TRUE,1,1e+05,999,5.78799605369568
"G01","GA",6,6,-10.6533534497804,-10.6533534497804,0,TRUE,1,1e+05,999,5.72666311264038
"G01","GA",7,7,-10.121859537257,-10.121859537257,0,TRUE,1,1e+05,999,5.80061101913452
"G01","GA",8,8,-10.121225614444,-10.121225614444,0,TRUE,1,1e+05,999,5.80067300796509
"G01","GA",9,9,-9.10423433207896,-9.10423433207896,0,TRUE,1,1e+05,999,5.7480309009552
"G01","GA",10,10,-14.9080747633533,-14.9080747633533,0,TRUE,1,1e+05,999,5.7166759967804
"G01","GA",11,11,-10.2487404247901,-10.2487404247901,0,TRUE,1,1e+05,999,5.69540786743164
"G01","GA",12,12,-12.7972815769153,-12.7972815769153,0,TRUE,1,1e+05,999,5.85680198669434
"G01","GA",13,13,-12.2457673567315,-12.2457673567315,0,TRUE,1,1e+05,999,5.68758893013
"G01","GA",14,14,-12.1596944662152,-12.1596944662152,0,TRUE,1,1e+05,999,5.79560613632202
"G01","GA",15,15,-11.9023956952901,-11.9023956952901,0,TRUE,1,1e+05,999,5.76904392242432
"G01","GA",16,16,-10.5455472731531,-10.5455472731531,0,TRUE,1,1e+05,999,5.72198009490967
"G01","GA",17,17,-9.68994573813839,-9.68994573813839,0,TRUE,1,1e+05,999,5.94974207878113
"G01","GA",18,18,-12.4659491994268,-12.4659491994268,0,TRUE,1,1e+05,999,5.7141740322113
"G01","GA",19,19,-14.7298466327145,-14.7298466327145,0,TRUE,1,1e+05,999,5.74313712120056
"G01","GA",20,20,-12.0051003951503,-12.0051003951503,0,TRUE,1,1e+05,999,5.73427295684814
"G01","GA",21,21,-14.6467828160591,-14.6467828160591,0,TRUE,1,1e+05,999,5.67905187606812
"G01","GA",22,22,-7.72656186912428,-7.72656186912428,0,TRUE,1,1e+05,999,5.73667478561401
"G01","GA",23,23,-8.92976572288382,-8.92976572288382,0,TRUE,1,1e+05,999,5.83823204040527
"G01","GA",24,24,-9.6861833311057,-9.6861833311057,0,TRUE,1,1e+05,999,5.87661290168762
"G01","GA",25,25,-12.5337276852501,-12.5337276852501,0,TRUE,1,1e+05,999,5.74481701850891
"G01","GA",26,26,-12.7446765345621,-12.7446765345621,0,TRUE,1,1e+05,999,5.77667593955994
"G01","GA",27,27,-9.39885952049933,-9.39885952049933,0,TRUE,1,1e+05,999,5.69251298904419
"G01","GA",28,28,-10.1153474503695,-10.1153474503695,0,TRUE,1,1e+05,999,5.8300039768219
"G01","GA",29,29,-9.88237709516114,-9.88237709516114,0,TRUE,1,1e+05,999,5.7800829410553
"G01","GA",30,30,-10.1295779157186,-10.1295779157186,0,TRUE,1,1e+05,999,5.70178699493408
"G01","GA",31,31,-10.6009634132523,-10.6009634132523,0,TRUE,1,1e+05,999,5.77231407165527
