"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G06","GA",1,1,-831.440140598124,76288.7958916286,1.54391776004938,FALSE,0,1e+05,999,4.96124505996704
"G06","GA",2,2,-4875.1335484059,-4875.1335484059,0,TRUE,1,1e+05,999,4.98666095733643
"G06","GA",3,3,-7952.27648349012,38776.8926218979,0.935500172276591,FALSE,0,1e+05,999,4.84699106216431
"G06","GA",4,4,-4404.16778448512,-4404.16778448512,0,TRUE,1,1e+05,999,4.82562112808228
"G06","GA",5,5,-4110.50408330963,-4110.50408330963,0,TRUE,1,1e+05,999,4.85364890098572
"G06","GA",6,6,-6946.27145590093,-6946.27145590093,0,TRUE,1,1e+05,999,4.9472279548645
"G06","GA",7,7,-5777.04966673857,-5777.04966673857,0,TRUE,1,1e+05,999,4.85414910316467
"G06","GA",8,8,-3829.26217210735,-3829.26217210735,0,TRUE,1,1e+05,999,4.8755030632019
"G06","GA",9,9,-5938.49383793086,8130.12781398813,0.281648448517927,FALSE,0,1e+05,999,4.8556649684906
"G06","GA",10,10,-3834.54517706783,-3834.54517706783,0,TRUE,1,1e+05,999,4.89353108406067
"G06","GA",11,11,-6202.47206372517,-6202.47206372517,0,TRUE,1,1e+05,999,4.87576103210449
"G06","GA",12,12,-5258.7294012821,-5258.7294012821,0,TRUE,1,1e+05,999,4.93221688270569
"G06","GA",13,13,-4896.13406129063,-4896.13406129063,0,TRUE,1,1e+05,999,4.87490510940552
"G06","GA",14,14,-7464.9476411349,15552.6517562994,0.46080357545263,FALSE,0,1e+05,999,4.87287211418152
"G06","GA",15,15,-4273.28021833847,-4273.28021833847,0,TRUE,1,1e+05,999,4.89023017883301
"G06","GA",16,16,-6365.48797238673,-6365.48797238673,0,TRUE,1,1e+05,999,4.89546394348145
"G06","GA",17,17,-4340.88383275574,-4340.88383275574,0,TRUE,1,1e+05,999,4.94030904769897
"G06","GA",18,18,-3267.04426035271,-3267.04426035271,0,TRUE,1,1e+05,999,4.94520783424377
"G06","GA",19,19,-6315.32638798757,-6315.32638798757,0,TRUE,1,1e+05,999,4.87860298156738
"G06","GA",20,20,-4803.70369786905,-4803.70369786905,0,TRUE,1,1e+05,999,5.06531405448914
"G06","GA",21,21,-4659.37685595599,-4659.37685595599,0,TRUE,1,1e+05,999,5.0099949836731
"G06","GA",22,22,-6135.36033320949,-6135.36033320949,0,TRUE,1,1e+05,999,4.92846202850342
"G06","GA",23,23,-1188.37418252029,1628.60051157212,0.0563947607473807,FALSE,0,1e+05,999,4.99163413047791
"G06","GA",24,24,-5345.86244335934,-5345.86244335934,0,TRUE,1,1e+05,999,4.92391395568848
"G06","GA",25,25,-768.163607784026,92968.3215693945,1.87656874090966,FALSE,0,1e+05,999,4.91884613037109
"G06","GA",26,26,-4520.41741679872,-4520.41741679872,0,TRUE,1,1e+05,999,4.89955997467041
"G06","GA",27,27,-4372.32887010844,-4372.32887010844,0,TRUE,1,1e+05,999,4.90761518478394
"G06","GA",28,28,-3757.12269994404,-3757.12269994404,0,TRUE,1,1e+05,999,4.88633894920349
"G06","GA",29,29,-5316.39883949919,-5316.39883949919,0,TRUE,1,1e+05,999,4.91045212745667
"G06","GA",30,30,-1046.2484099762,24132.6196899354,0.504071351923116,FALSE,0,1e+05,999,4.86022996902466
"G06","GA",31,31,-4282.25458458659,-4282.25458458659,0,TRUE,1,1e+05,999,4.85825610160828
