"Benchmark","Algorithm","Run","Seed","Objective","Fitness","Violation","Feasible","Success","NFE","Generations","Time"
"G01","AGDPSO",1,1,-12.999959785386,-12.999959785386,0,TRUE,1,1e+05,999,16.0096361637115
"G01","AGDPSO",2,2,-9,-9,0,TRUE,1,1e+05,999,15.8671789169312
"G01","AGDPSO",3,3,-12.4480443639697,-12.4480443639697,0,TRUE,1,1e+05,999,16.0070581436157
"G01","AGDPSO",4,4,-14.9999999992679,-14.9999999992679,0,TRUE,1,1e+05,999,15.8490178585052
"G01","AGDPSO",5,5,-6,-6,0,TRUE,1,1e+05,999,15.7623748779297
"G01","AGDPSO",6,6,-12.9933855895713,-12.9933855895713,0,TRUE,1,1e+05,999,15.7859618663788
"G01","AGDPSO",7,7,-12,-12,0,TRUE,1,1e+05,999,15.8238940238953
"G01","AGDPSO",8,8,-9,-9,0,TRUE,1,1e+05,999,16.4207539558411
"G01","AGDPSO",9,9,-9.00000000000078,-9.00000000000078,0,TRUE,1,1e+05,999,16.2799401283264
"G01","AGDPSO",10,10,-12.0096053932885,-12.0096053932885,0,TRUE,1,1e+05,999,16.1484289169312
"G01","AGDPSO",11,11,-7,-7,0,TRUE,1,1e+05,999,17.5313918590546
"G01","AGDPSO",12,12,-12.9999995428881,-12.9999995428881,0,TRUE,1,1e+05,999,17.2013821601868
"G01","AGDPSO",13,13,-15,-15,0,TRUE,1,1e+05,999,15.9151749610901
"G01","AGDPSO",14,14,-14.999999999964,-14.999999999964,0,TRUE,1,1e+05,999,15.7292699813843
"G01","AGDPSO",15,15,-9,-9,0,TRUE,1,1e+05,999,16.1229419708252
"G01","AGDPSO",16,16,-9,-9,0,TRUE,1,1e+05,999,16.9446289539337
"G01","AGDPSO",17,17,-9,-9,0,TRUE,1,1e+05,999,16.6630301475525
"G01","AGDPSO",18,18,-12.9999999638686,-12.9999999638686,0,TRUE,1,1e+05,999,16.1905851364136
"G01","AGDPSO",19,19,-14.999999998216,-14.999999998216,0,TRUE,1,1e+05,999,17.3037250041962
"G01","AGDPSO",20,20,-12.4507135669126,-12.4507135669126,0,TRUE,1,1e+05,999,17.9227612018585
"G01","AGDPSO",21,21,-14.9999999999024,-14.9999999999024,0,TRUE,1,1e+05,999,16.9632570743561
"G01","AGDPSO",22,22,-6,-6,0,TRUE,1,1e+05,999,17.7610111236572
"G01","AGDPSO",23,23,-9,-9,0,TRUE,1,1e+05,999,15.7736308574677
"G01","AGDPSO",24,24,-10,-10,0,TRUE,1,1e+05,999,15.7544920444489
"G01","AGDPSO",25,25,-15,-15,0,TRUE,1,1e+05,999,15.8487632274628
"G01","AGDPSO",26,26,-12,-12,0,TRUE,1,1e+05,999,15.7902522087097
"G01","AGDPSO",27,27,-12.0000000000153,-12.0000000000153,0,TRUE,1,1e+05,999,16.0609328746796
"G01","AGDPSO",28,28,-7,-7,0,TRUE,1,1e+05,999,15.7567501068115
"G01","AGDPSO",29,29,-9.00004520695481,-9.00004520695481,7.29718629062615e-22,TRUE,1,1e+05,999,15.8467750549316
"G01","AGDPSO",30,30,-12.2556914567735,-12.2556914567735,0,TRUE,1,1e+05,999,15.8144340515137
"G01","AGDPSO",31,31,-6,-6,0,TRUE,1,1e+05,999,15.8796029090881
